2019/12/22 08:22:50 [emerg] 1#1: unknown directive "health_check" in /etc/nginx/conf.d/minio.conf:27
2019/12/22 12:04:27 [error] 6#6: *92 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:04:27 [warn] 6#6: *92 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:04:28 [warn] 6#6: *71 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/logo.svg HTTP/1.1", upstream: "http://192.168.32.2:9000/minio/logo.svg", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:04:28 [error] 6#6: *71 upstream timed out (110: Connection timed out) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/logo.svg HTTP/1.1", upstream: "http://192.168.32.2:9000/minio/logo.svg", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:04:31 [error] 6#6: *92 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:04:31 [warn] 6#6: *92 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:04:45 [error] 6#6: *92 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:04:45 [warn] 6#6: *92 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:05:07 [error] 6#6: *92 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:05:07 [warn] 6#6: *92 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:05:10 [error] 6#6: *92 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:05:10 [warn] 6#6: *92 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:05:35 [error] 6#6: *92 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:05:35 [warn] 6#6: *92 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:05:35 [error] 6#6: *96 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:05:35 [warn] 6#6: *96 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "POST /minio/webrpc HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/webrpc", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:06:04 [error] 6#6: *96 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/logo.svg HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/logo.svg", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:06:04 [warn] 6#6: *96 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/logo.svg HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/logo.svg", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:06:04 [error] 6#6: *92 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:06:04 [warn] 6#6: *92 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:07:10 [error] 6#6: *147 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.5:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:07:10 [warn] 6#6: *147 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.5:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:07:10 [error] 6#6: *96 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/logo.svg HTTP/1.1", upstream: "http://192.168.32.5:9000/minio/logo.svg", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:07:10 [warn] 6#6: *96 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/logo.svg HTTP/1.1", upstream: "http://192.168.32.5:9000/minio/logo.svg", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:07:13 [error] 6#6: *147 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:07:13 [warn] 6#6: *147 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:07:16 [error] 6#6: *147 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:07:16 [warn] 6#6: *147 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:07:38 [error] 6#6: *147 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:07:38 [warn] 6#6: *147 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.3:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
